State,State Code,Bank Name (FDIC),Routing Number,Matched Institution Name (Fed),Routing Office City/State,Match Type,Note
Alabama,AL,BankFirst Financial Services,065304369,BANKFIRST FINANCIAL SERVICES,"MACON, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,BankFirst Financial Services,084201786,BANKFIRST FINANCIAL SERVICES,"MACON, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,BankPlus,065301197,BANKPLUS,"BELZONI, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,BankPlus,065301605,BANKPLUS,"BELZONI, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,BankPlus,065301948,BANKPLUS,"BELZONI, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,BankSouth,062105529,BANKSOUTH,"DOTHAN, AL",Exact,
Alabama,AL,Brantley Bank and Trust Company,062105723,BRANTLEY BANK & TRUST CO.,"BRANTLEY, AL",Exact,
Alabama,AL,Bryant Bank,062206512,BRYANT BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,"CB&S Bank, Inc.",062201559,CB&S BANK,"RUSSELLVILLE, AL",Exact,
Alabama,AL,"CB&S Bank, Inc.",084302915,CB&S BANK,"RUSSELLVILLE, AL",Exact,
Alabama,AL,CCB Community Bank,062105778,CCB COMMUNITY BANK,"ANDALUSIA, AL",Exact,
Alabama,AL,Capital City Bank,061109487,CAPITAL CITY BANK,"TALLAHASSEE, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,Capital City Bank,061205475,CAPITAL CITY BANK,"TALLAHASSEE, FL",Exact,No routing number registered in AL; showing bank's routing number registered in FL
Alabama,AL,Capital City Bank,061211647,CAPITAL CITY BANK,"TALLAHASSEE, FL",Exact,No routing number registered in AL; showing bank's routing number registered in FL
Alabama,AL,Centennial Bank,063107623,CENTENNIAL BANK,"CONWAY, AR",Exact,No routing number registered in AL; showing bank's routing number registered in AR
Alabama,AL,Centennial Bank,063109702,CENTENNIAL BANK,"CONWAY, AR",Exact,No routing number registered in AL; showing bank's routing number registered in AR
Alabama,AL,Centennial Bank,063113824,CENTENNIAL BANK,"CONWAY, AR",Exact,No routing number registered in AL; showing bank's routing number registered in AR
Alabama,AL,Central State Bank,062204569,CENTRAL STATE BANK,"CALERA, AL",Exact,
Alabama,AL,Century Bank,011301390,CENTURY BANK,"MEDFORD, MA",Exact,No routing number registered in AL; showing bank's routing number registered in MA
Alabama,AL,Century Bank,065303328,CENTURY BANK,"LUCEDALE, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,Century Bank,073901851,CENTURY BANK,"SHENANDOAH, IA",Exact,No routing number registered in AL; showing bank's routing number registered in IA
Alabama,AL,Citizens Bank & Trust,062206431,CITIZENS BANK & TRUST,"GUNTERSVILLE, AL",Exact,
Alabama,AL,Citizens Community Bank,061209552,CITIZENS COMMUNITY BANK,"HAHIRA, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,Citizens Community Bank,064104036,CITIZENS COMMUNITY BANK,"WINCHESTER, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,Citizens Community Bank,081025363,CITIZENS COMMUNITY BANK,"MASCOUTAH, IL",Exact,No routing number registered in AL; showing bank's routing number registered in IL
Alabama,AL,Citizens Trust Bank,061010220,CITIZENS TRUST BANK,"DECATUR, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,Citizens Trust Bank,262084385,CITIZENS TRUST BANK,"DECATUR, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,"Citizens' Bank, Inc.",065103243,CITIZENS' BANK INC,"ROBERTSDALE, AL",Exact,
Alabama,AL,CommerceOne Bank,062006806,COMMERCEONE BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Commonwealth National Bank,065102833,COMMONWEALTH NATIONAL BANK,"MOBILE, AL",Exact,
Alabama,AL,Community Bank of Mississippi,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Community Neighbor Bank,062102386,COMMUNITY NEIGHBOR BANK,"CAMDEN, AL",Exact,
Alabama,AL,Community Spirit Bank,062203476,COMMUNITY SPIRIT BANK,"RED BAY, AL",Exact,
Alabama,AL,Community Spirit Bank,084206105,COMMUNITY SPIRIT BANK,"RED BAY, AL",Exact,
Alabama,AL,Community State Bank,031317788,COMMUNITY STATE BANK,"ORBISONIA, PA",Exact,No routing number registered in AL; showing bank's routing number registered in PA
Alabama,AL,Community State Bank,063106352,COMMUNITY STATE BANK,"STARKE, FL",Exact,No routing number registered in AL; showing bank's routing number registered in FL
Alabama,AL,Community State Bank,073908317,COMMUNITY STATE BANK,"TIPTON, IA",Exact,No routing number registered in AL; showing bank's routing number registered in IA
Alabama,AL,Cullman Savings Bank,262285621,CULLMAN SAVINGS BANK,"CULLMAN, AL",Exact,
Alabama,AL,Dozier Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,EvaBank,062203719,EVABANK,"CULLMAN, AL",Exact,
Alabama,AL,Farmers and Merchants Bank,062204530,FARMERS & MERCHANTS BANK,"PIEDMONT, AL",Exact,
Alabama,AL,"Fifth Third Bank, National Association",053100737,FIFTH THIRD BANK NA,"CINCINNATI, OH",Exact,No routing number registered in AL; showing bank's routing number registered in OH
Alabama,AL,First Bank of Alabama,062200961,FIRST BANK OF ALABAMA,"TALLADEGA, AL",Exact,
Alabama,AL,First Bank of Alabama,062203641,FIRST BANK OF ALABAMA,"TALLADEGA, AL",Exact,
Alabama,AL,First Bank of Boaz,062202163,FIRST BANK OF BOAZ,"BOAZ, AL",Exact,
Alabama,AL,First Cahawba Bank,062206648,FIRST CAHAWBA BANK,"SELMA, AL",Exact,
Alabama,AL,First Citizens Bank,053906041,FIRST CITIZENS BANK,"RALEIGH, NC",Exact,No routing number registered in AL; showing bank's routing number registered in NC
Alabama,AL,First Citizens Bank,055003463,FIRST CITIZENS BANK,"ANNAPOLIS, MD",Exact,No routing number registered in AL; showing bank's routing number registered in MD
Alabama,AL,First Citizens Bank,063114001,CITIZENS FIRST BANK,"THE VILLAGES, FL",Exact,No routing number registered in AL; showing bank's routing number registered in FL
Alabama,AL,First Community Bank of Central Alabama,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,"First Federal Bank, A FSB",NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,First Financial Bank,062201397,FIRST FINANCIAL BANK,"BESSEMER, AL",Exact,
Alabama,AL,First Financial Bank,262286950,FIRST FINANCIAL BANK,"BESSEMER, AL",Exact,
Alabama,AL,First Horizon Bank,061120152,FIRST HORIZON BANK,"MEMPHIS, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,First Horizon Bank,084303749,FIRST HORIZON BANK,"MEMPHIS, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,"First Jackson Bank, Inc.",062203230,FIRST JACKSON BANK,"STEVENSON, AL",Exact,
Alabama,AL,First Metro Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,First National Bank,031203915,FIRST NATL BANK,"ELMER, NJ",Exact,No routing number registered in AL; showing bank's routing number registered in NJ
Alabama,AL,First National Bank,041204726,FIRST NATIONAL BANK,"BELLEVUE, OH",Exact,No routing number registered in AL; showing bank's routing number registered in OH
Alabama,AL,First National Bank,042102270,FIRST NATIONAL BANK,"LONDON, KY",Exact,No routing number registered in AL; showing bank's routing number registered in KY
Alabama,AL,First National Bank of Pulaski,064103228,FIRST NATIONAL BANK OF PULASKI,"PULASKI, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,First National Banker's Bank,062006495,FIRST NATIONAL BANKERS BANK,"BATON ROUGE, LA",Fuzzy 98%,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,First National Banker's Bank,063111596,FIRST NATIONAL BANKERS BANK,"BATON ROUGE, LA",Fuzzy 98%,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,First National Banker's Bank,065306192,FIRST NATIONAL BANKERS BANK,"BATON ROUGE, LA",Fuzzy 98%,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,First Progressive Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,First Southern Bank,062206787,FIRST SOUTHERN BANK,"FLORENCE, AL",Exact,
Alabama,AL,First Southern Bank,262283665,FIRST SOUTHERN BANK,"FLORENCE, AL",Exact,
Alabama,AL,First Southern State Bank,062202477,FIRST SOUTHERN STATE BANK,"STEVENSON, AL",Exact,
Alabama,AL,First Southern State Bank,062204624,FIRST SOUTHERN STATE BANK,"STEVENSON, AL",Exact,
Alabama,AL,First State Bank of DeKalb County,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,"First State Bank of the South, Inc.",062202257,FIRST STATE BANK OF THE SOUTH,"SULLIGENT, AL",Exact,
Alabama,AL,First US Bank,051405803,FIRST US BANK,"THOMASVILLE, AL",Exact,
Alabama,AL,First US Bank,062101264,FIRST US BANK,"THOMASVILLE, AL",Exact,
Alabama,AL,First US Bank,062103592,FIRST US BANK,"THOMASVILLE, AL",Exact,
Alabama,AL,First US Bank,062105626,FIRST US BANK,"THOMASVILLE, AL",Exact,
Alabama,AL,First US Bank,062203968,FIRST US BANK,"THOMASVILLE, AL",Exact,
Alabama,AL,First US Bank,062204349,FIRST US BANK,"THOMASVILLE, AL",Exact,
Alabama,AL,FirstBank,061107010,FIRSTBANK,"LEXINGTON, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,FirstBank,064102737,FIRSTBANK,"LEXINGTON, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,FirstBank,064104201,FIRSTBANK,"LEXINGTON, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,FirstState Bank,062201892,FIRST STATE BANK,"LINEVILLE, AL",Fuzzy 97%,
Alabama,AL,Friend Bank,062102221,FRIEND BANK,"SLOCOMB, AL",Exact,
Alabama,AL,Friend Bank,062102713,FRIEND BANK,"SLOCOMB, AL",Exact,
Alabama,AL,Gulf Coast Bank and Trust Company,265070435,GULF COAST BANK & TRUST COMPANY,"NEW ORLEANS, LA",Exact,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,HNB First Bank,062102030,HNB FIRST BANK,"HEADLAND, AL",Exact,
Alabama,AL,Hancock Whitney Bank,062101219,HANCOCK WHITNEY BANK,"NEW ORLEANS, LA",Exact,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,Hancock Whitney Bank,062205610,HANCOCK WHITNEY BANK,"NEW ORLEANS, LA",Exact,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,Hancock Whitney Bank,063112786,HANCOCK WHITNEY BANK,"NEW ORLEANS, LA",Exact,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,"Investar Bank, National Association",NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,"JPMorgan Chase Bank, National Association",021000021,JPMORGAN CHASE,"TAMPA, FL",Exact,No routing number registered in AL; showing bank's routing number registered in FL
Alabama,AL,"JPMorgan Chase Bank, National Association",021000128,JPMORGAN CHASE,"TAMPA, FL",Exact,No routing number registered in AL; showing bank's routing number registered in FL
Alabama,AL,"JPMorgan Chase Bank, National Association",021031207,JPMORGAN CHASE,"TAMPA, FL",Exact,No routing number registered in AL; showing bank's routing number registered in FL
Alabama,AL,Liberty Bank,011110659,LIBERTY BANK,"MIDDLETOWN, CT",Exact,No routing number registered in AL; showing bank's routing number registered in CT
Alabama,AL,Liberty Bank,011110688,LIBERTY BANK,"MIDDLETOWN, CT",Exact,No routing number registered in AL; showing bank's routing number registered in CT
Alabama,AL,Liberty Bank,081214161,LIBERTY BANK,"LIBERTY, IL",Exact,No routing number registered in AL; showing bank's routing number registered in IL
Alabama,AL,Liberty Bank and Trust Company,065002108,LIBERTY BANK & TRUST COMPANY,"NEW ORLEANS, LA",Exact,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,Liberty Bank and Trust Company,065303315,LIBERTY BANK & TRUST COMPANY,"NEW ORLEANS, LA",Exact,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,Liberty Bank and Trust Company,071002095,LIBERTY BANK & TRUST COMPANY,"NEW ORLEANS, LA",Exact,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,Local Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Marion Community Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,"Merchants & Farmers Bank of Greene County, Alabama",NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Merchants & Marine Bank,062201151,MERCHANTS & MARINE BANK,"PASCAGOULA, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,Merchants & Marine Bank,065301362,MERCHANTS & MARINE BANK,"PASCAGOULA, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,Merit Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Metro Bank,062204019,METRO BANK,"PELL CITY, AL",Exact,
Alabama,AL,Metro City Bank,061104848,METRO CITY BANK,"DORAVILLE, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,Metro City Bank,061120686,METRO CITY BANK,"DORAVILLE, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,MidSouth Bank,062103864,MIDSOUTH BANK,"ASHFORD, AL",Exact,
Alabama,AL,Millennial Bank,062206279,MILLENNIAL BANK,"LEEDS, AL",Exact,
Alabama,AL,NobleBank & Trust,062206541,NOBLEBANK & TRUST,"ANNISTON, AL",Exact,
Alabama,AL,North Alabama Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Nova Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Oakworth Capital Bank,062006709,OAKWORTH CAPITAL BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Origin Bank,111102758,ORIGIN BANK,"RUSTON, LA",Exact,No routing number registered in AL; showing bank's routing number registered in LA
Alabama,AL,"PNC Bank, National Association",021200575,PNC BANK N.A.,"PITTSBURGH, PA",Exact,No routing number registered in AL; showing bank's routing number registered in PA
Alabama,AL,"PNC Bank, National Association",021202311,PNC BANK N.A.,"PITTSBURGH, PA",Exact,No routing number registered in AL; showing bank's routing number registered in PA
Alabama,AL,"PNC Bank, National Association",021202447,PNC BANK N.A.,"PITTSBURGH, PA",Exact,No routing number registered in AL; showing bank's routing number registered in PA
Alabama,AL,Peoples Bank of Alabama,062203010,PEOPLES BANK OF ALABAMA,"CULLMAN, AL",Exact,
Alabama,AL,Peoples Bank of Alabama,062206732,PEOPLES BANK OF ALABAMA,"CULLMAN, AL",Exact,
Alabama,AL,Peoples Bank of Greensboro,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Peoples Exchange Bank,062102593,PEOPLES EXCHANGE BANK,"MONROEVILLE, AL",Exact,
Alabama,AL,Peoples Independent Bank,062202118,PEOPLES INDEPENDENT BANK,"BOAZ, AL",Exact,
Alabama,AL,Peoples Independent Bank,062203942,PEOPLES INDEPENDENT BANK,"BOAZ, AL",Exact,
Alabama,AL,PeoplesSouth Bank,062104041,PEOPLESSOUTH BANK,"COLQUITT, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,PeoplesSouth Bank,063205457,PEOPLESSOUTH BANK,"COLQUITT, GA",Exact,No routing number registered in AL; showing bank's routing number registered in GA
Alabama,AL,PeoplesTrust Bank,062206473,PEOPLESTRUST BANK,"HAMILTON, AL",Exact,
Alabama,AL,Phenix-Girard Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Pinnacle Bank,262287386,PINNACLE BANK,"JASPER, AL",Exact,
Alabama,AL,Premier Bank of the South,062203890,PREMIER BANK OF THE SOUTH,"CULLMAN, AL",Exact,
Alabama,AL,Premier Bank of the South,062206745,PREMIER BANK OF THE SOUTH,"CULLMAN, AL",Exact,
Alabama,AL,Regions Bank,051009296,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,053012029,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,053201814,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,061101375,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,061104712,REGIONS BANK,"HOOVER, AL",Exact,
Alabama,AL,Regions Bank,062000019,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,062005690,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,062202150,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,062203735,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,063104668,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,063206663,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,063210112,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,064000017,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,064002280,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,064003962,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,064102397,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,064103079,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,064200765,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,064200914,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,064206594,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,065301155,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,065305436,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,065305902,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,065402892,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,065403626,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,065403875,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,065404913,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,067008414,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,067010583,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,071122661,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,073900438,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,074014213,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,081001387,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,082000109,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,083901744,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,084000084,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,084302614,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,084306953,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,111900785,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,261170740,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Regions Bank,264071590,REGIONS BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,Renasant Bank,061103276,RENASANT BANK,"TUPELO, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,Renasant Bank,061104275,RENASANT BANK,"TUPELO, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,Renasant Bank,061120217,RENASANT BANK,"TUPELO, MS",Exact,No routing number registered in AL; showing bank's routing number registered in MS
Alabama,AL,River Bank & Trust,062206567,RIVER BANK & TRUST,"PRATTVILLE, AL",Exact,
Alabama,AL,River Bank & Trust,062206596,RIVER BANK & TRUST,"PRATTVILLE, AL",Exact,
Alabama,AL,Robertson Banking Company,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,ServisFirst Bank,061121122,SERVISFIRST BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,ServisFirst Bank,062006505,SERVISFIRST BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,ServisFirst Bank,062006796,SERVISFIRST BANK,"BIRMINGHAM, AL",Exact,
Alabama,AL,SmartBank,061304363,SMARTBANK,"PIGEON FORGE, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,SmartBank,062103165,SMARTBANK,"PIGEON FORGE, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,SmartBank,063215900,SMARTBANK,"PIGEON FORGE, TN",Exact,No routing number registered in AL; showing bank's routing number registered in TN
Alabama,AL,Solutions Plus Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,SouthPoint Bank,062006534,SOUTHPOINT BANK,"GARDENDALE, AL",Exact,
Alabama,AL,"SouthState Bank, National Association",051408907,SOUTH STATE BANK,"N CHARLESTON, SC",Exact,No routing number registered in AL; showing bank's routing number registered in SC
Alabama,AL,"SouthState Bank, National Association",053012197,SOUTH STATE BANK,"N. CHAS, SC",Exact,No routing number registered in AL; showing bank's routing number registered in SC
Alabama,AL,"SouthState Bank, National Association",053012728,SOUTH STATE BANK,"N CHARLESTON, SC",Exact,No routing number registered in AL; showing bank's routing number registered in SC
Alabama,AL,Southern Independent Bank,062106573,SOUTHERN INDEPENDENT BANK,"OPP, AL",Exact,
Alabama,AL,State Bank & Trust,062203670,STATE BANK & TRUST,"WINFIELD, AL",Exact,
Alabama,AL,Story Bank DBA Story Financial Partners,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Sweet Water State Bank,062104290,SWEET WATER STATE BK,"SWEET WATER, AL",Fuzzy 95%,
Alabama,AL,The Bank of Vernon,062203874,BANK OF VERNON,"VERNON, AL",Exact,
Alabama,AL,The Citizens Bank,062105710,THE CITIZENS BANK,"ENTERPRISE, AL",Exact,
Alabama,AL,The Citizens Bank,062202914,THE CITIZENS BANK,"GREENSBORO, AL",Exact,
Alabama,AL,The Citizens Bank,062204938,CITIZENS BANK,"WINFIELD, AL",Exact,
Alabama,AL,The Citizens Bank of Winfield,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,The Commercial Bank Of Ozark,062106120,THE COMMERCIAL BANK OF OZARK,"OZARK, AL",Exact,
Alabama,AL,The Exchange Bank of Alabama,062204129,THE EXCHANGE BK OF ALABAMA,"ATTALLA, AL",Fuzzy 96%,
Alabama,AL,The Farmers & Merchants Bank,062204530,FARMERS & MERCHANTS BANK,"PIEDMONT, AL",Exact,
Alabama,AL,The First National Bank and Trust,062104520,FIRST NATIONAL BANK AND TRUST,"ATMORE, AL",Exact,
Alabama,AL,The First National Bank of Hartford,062101882,FIRST NATIONAL BANK OF HARTFORD,"HARTFORD, AL",Exact,
Alabama,AL,The Hometown Bank of Alabama,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,The Huntington National Bank,041000153,HUNTINGTON NATIONAL BANK,"COLUMBUS, OH",Exact,No routing number registered in AL; showing bank's routing number registered in OH
Alabama,AL,The Huntington National Bank,041200555,HUNTINGTON NATIONAL BANK,"COLUMBUS, OH",Exact,No routing number registered in AL; showing bank's routing number registered in OH
Alabama,AL,The Huntington National Bank,041215016,HUNTINGTON NATIONAL BANK,"COLUMBUS, OH",Exact,No routing number registered in AL; showing bank's routing number registered in OH
Alabama,AL,"The Samson Banking Company, Inc.",062105493,SAMSON BANKING CO,"SAMSON, AL",Exact,
Alabama,AL,The Southern Bank Company,262285663,THE SOUTHERN BANK COMPANY,"GADSDEN, AL",Exact,
Alabama,AL,Traditions Bank,062206457,TRADITIONS BANK,"CULLMAN, AL",Exact,
Alabama,AL,Troy Bank & Trust Company,062101031,TROY BANK & TRUST CO.,"TROY, AL",Exact,
Alabama,AL,Troy Bank & Trust Company,062101251,TROY BANK & TRUST CO.,"TROY, AL",Exact,
Alabama,AL,Truist Bank,031204710,BRANCH BANKING & TRUST COMPANY,"WILSON, NC",Exact,No routing number registered in AL; showing bank's routing number registered in NC
Alabama,AL,Truist Bank,031205955,BRANCH BANKING & TRUST COMPANY,"WILSON, NC",Exact,No routing number registered in AL; showing bank's routing number registered in NC
Alabama,AL,Truist Bank,031301998,BRANCH BANKING & TRUST COMPANY,"WILSON, NC",Exact,No routing number registered in AL; showing bank's routing number registered in NC
Alabama,AL,Trustmark Bank,NOT FOUND,,,,No confident match in Federal Reserve FedACH directory
Alabama,AL,Union State Bank,062202697,UNION STATE BANK,"PELL CITY, AL",Exact,
