State,Institution Name,Routing Numbers
Ohio,HANCOCK SCHOOL EMP.,
Massachusetts,HARVARD,
California,HCN Bank,
Virginia,HEALTHCARE SYSTEMS,
Nebraska,HEMINGFORD COMMUNITY,
Pennsylvania,HERITAGE VALLEY,
Texas,HIGHWAY DISTRICT 19 EMPLOYEES,
New Jersey,HOBOKEN N J POLICE,
Minnesota,HOME TOWN,
Virginia,HOPEWELL CHEMICAL,
North Carolina,HSM,
New Jersey,Haddon Savings Bank,231270858
California,Hatch Bank,
Tennessee,Heritage Bank & Trust,064109057
Colorado,High Country Bank,302170463
Illinois,Holcomb Bank,071913566
Ohio,Home National Bank,044208512
Louisiana,Homeland Federal Savings Bank,311193059
Wisconsin,Horicon Bank,075905622
Kentucky,Hyden Citizens Bank,042105170
Minnesota,IDEAL,
Louisiana,IMMACULATE HEART OF MARY,
Wisconsin,INDIANHEAD,
Indiana,INOVA,
Louisiana,INTERNAL REVENUE,
Texas,IRVING CITY EMPLOYEES,
New Jersey,I.L.A. LOCAL 1235,
Ohio,Independence Bank,041201813
Virginia,Integrity Bank for Business,051409731
Iowa,"Iowa State Bank and Trust Company of Fairfield, Iowa",
Missouri,J C FEDERAL EMPLOYEES,
Louisiana,JD Bank,065204579
Tennessee,JOHNSONVILLE TVA EMPLOYEES,
Texas,JSC,
Wisconsin,"John Deere Financial, f.s.b.",075972228
Kansas,K C K FIREMEN & POLICE,
Illinois,KASKASKIA VALLEY,
Virginia,KEMBA ROANOKE,
Ohio,"KH CREDIT UNION, INC.",
Tennessee,KNOXVILLE TEACHERS,
Ohio,KYGER CREEK,
Iowa,Kerndt Brothers Savings Bank,
Ohio,L C E,
Michigan,LAKE HURON,
Alabama,LANAI,
Florida,LAUNCH CREDIT UNION,
Pennsylvania,LEBANON,
Louisiana,LES,
Texas,LIBERTYONE,
North Carolina,LION'S SHARE,
Utah,LOGAN MEDICAL,
California,LOS ANGELES LEE,
Massachusetts,LOWELL MUNICIPAL EMPLOYEES,
Massachusetts,LYNN TEACHERS,
Florida,Lafayette State Bank,063105515
Minnesota,Lakeview Bank,091917351
Massachusetts,"Leader Bank, National Association",011307129
New Jersey,Liberty Bank of New Jersey,021214914
Illinois,Lisle Savings Bank,271972404
Illinois,Longview Bank,071110819
Kansas,Lyons Federal Bank,301170985
Kentucky,MAIN IMPACT,
Michigan,MARQUETTE COMMUNITY,
Massachusetts,MASS BAY,
Alabama,MAX,
Texas,MCMURREY,
California,MEDIA CITY,
New Jersey,MEMBERS CONNECT,
Illinois,MEMBERSALLIANCE,
Virginia,MERCER COUNTY W VA TEACHERS,
New Jersey,MESSIAH BAPTIST CHURCH,
Kentucky,METRO PLUS,
Ohio,MIAMI UNIVERSITY COMMUNITY,
Minnesota,MID MINNESOTA,
Texas,MIDLAND MUNICIPAL EMPLOYEES,
Texas,MIDWESTERN STATE UNIVERSITY,
Minnesota,MINNESOTA POWER EMPLOYEES,
Alabama,MOBILE EDUCATORS,
Pennsylvania,MON VALLEY COMMUNITY,
Pennsylvania,MONTOURSVILLE AREA,
North Carolina,MOUNTAIN,
Pennsylvania,MULTI-SCHOOLS,
Nebraska,MUTUAL FIRST,
Florida,Madison County Community Bank,063114645
Pennsylvania,Marquette Savings Bank,243373248
Pennsylvania,Mauch Chunk Trust Company,031307701
Massachusetts,Mechanics Cooperative Bank,211370024
Alabama,"Merchants & Farmers Bank of Greene County, Alabama",062202192
Ohio,Miami Savings Bank,242072391
Illinois,Midland Community Bank,071108782
Illinois,Milledgeville State Bank,071121620
Ohio,Minster Bank,042310525
California,Monterey County Bank,121136808
Wisconsin,Mound City Bank,075908687
Indiana,Mutual Savings Bank,274970267
Tennessee,NASHVILLE POST OFFICE,
Texas,NCE,
Massachusetts,NEW BEDFORD,
Utah,NEW HAVEN FIREFIGHTERS,
Louisiana,NEW ORLEANS POLICE DEPARTMENT EMP.,
Louisiana,NODA,
Minnesota,NORTH STAR,
Illinois,NORTHERN ILLINOIS,
Illinois,NORTHSIDE L,
Pennsylvania,NORWIN TEACHERS,
Ohio,NUEVA ESPERANZA COMMUNITY,
New Jersey,N.J.T. EMPLOYEES,
Ohio,"Nationwide Trust Company, FSB",044072324
Utah,Nelnet Bank,124385355
Massachusetts,New Valley Bank & Trust,
Minnesota,North American Banking Company,096016930
Illinois,North Side Federal Savings and Loan Association of Chicago,271071114
Michigan,"Northern Interstate Bank, N. A.",
Alabama,Nova Bank,062206826
New Jersey,OCNAC #1,
Oklahoma,OKLAHOMA EDUCATORS,
Tennessee,OLIVET BAPTIST,
Michigan,ONE DETROIT,
Colorado,OPTIONS,
Texas,OUR MOTHER OF MERCY PARISH HOUSTON,
Georgia,Oconee Federal Savings and Loan Association,
Tennessee,One Bank of Tennessee,064104311
Kansas,Outdoor Bank,101106528
Pennsylvania,PAAC TRANSIT DIVISION,
Texas,PAMPA MUNICIPAL,
Wisconsin,PARK CITY,
Virginia,PATENT AND TRADEMARK OFFICE,
Iowa,PCSB Bank,073902397
Pennsylvania,PENN STATE,
Louisiana,PEOPLE'S,
Pennsylvania,PHILADELPHIA,
Pennsylvania,PINN MEMORIAL,
Illinois,PLANITES,
Iowa,POLK COUNTY,
Texas,PORT OF HOUSTON WAREHOUSE,
California,POSTCITY FINANCIAL,
Iowa,PREMIER,
Texas,PRIORITY TRUST,
Pennsylvania,PS Bank,031314503
Virginia,PWC EMPLOYEES,
Wisconsin,"Paper City Savings Bank, S.A.",275971498
Tennessee,Patriot Bank,084008824
Pennsylvania,Pennian Bank,031310206
Alabama,Peoples Bank of Greensboro,062201533
Alabama,Peoples Independent Bank,062202118
Minnesota,Perennial Bank,091903433
Colorado,Pikes Peak National Bank,107000097
Texas,PlainsCapital Bank,111322994
California,Poppy Bank,121143891
Nebraska,Premier Bank National Association,104000870
Texas,PrimeBank of Texas,114924690
Minnesota,"Profinium, Inc.",091212865
Iowa,QUAKER OATS,
Utah,Quill Bank,124302927
Alabama,RAILROAD,
Missouri,RAYTOWN-LEE'S SUMMIT COMMUNITY,
California,REDLANDS CITY EMPLOYEES,
Texas,RESOURCE ONE,
Utah,RIDGELINE,
Pennsylvania,RIVERFRONT,
Illinois,ROCK VALLEY,
Michigan,ROUTE 31,
Louisiana,Rayne Building and Loan Association,265270811
Minnesota,Reliance Bank,091918224
Wisconsin,River Bank,075907374
Georgia,Rochelle State Bank,061211281
Illinois,Rushville State Bank,071105866
Texas,SACRED HEART PARISH HALLETTSVILLE,
Illinois,SALEM SCHOOL SYSTEM,
California,SAN FRANCISCO FIRE,
Florida,SANTA ROSA COUNTY,
Colorado,SCHOOL DISTRICT 3,
Tennessee,SECURCOMMUNITY,
Kentucky,SERVICE ONE,
Louisiana,SEWERAGE & WATER BOARD EMPLOYEES,
California,SHELL WESTERN STATES,
North Carolina,SHUFORD,
Tennessee,SKYLINE,
Minnesota,SMW FINANCIAL,
Massachusetts,SOMERSET,
Missouri,SOUTH CENTRAL MISSOURI,
Louisiana,SOUTHEAST LOUISIANA VETERANS HEALTH,
Tennessee,SOUTHERN SECURITY,
Oklahoma,SOUTHWEST OKLAHOMA,
Pennsylvania,SPIRIT FINANCIAL,
California,STAR ONE,
Missouri,STATIONERY,
Massachusetts,STOUGHTON TOWN EMPLOYEES,
Massachusetts,ST. ANTHONY OF PADUA,
Massachusetts,ST. JEAN'S,
Massachusetts,ST. MARY'S,
Missouri,SULLIVAN BANK,081905302
Colorado,SUNWEST,
Alabama,SYCAMORE,
Colorado,San Luis Valley Federal Bank,302174728
Minnesota,Scale Bank,
Minnesota,Security Bank Minnesota,091908399
Tennessee,Security Federal Savings Bank of McMinnville,264171500
Oklahoma,Security State Bank of Oklahoma,103108605
Pennsylvania,Sharon Bank,231372141
Michigan,Sidney State Bank,072410929
Colorado,Solera National Bank,107007281
Georgia,South Georgia Bank,261291247
Texas,"SouthTrust Bank, N.A.",114917908
Texas,Southwest Bank,112322508
Texas,Spring Hill State Bank,111907429
Minnesota,St. Clair State Bank (Incorporated),
Alabama,State Bank & Trust,062203670
Minnesota,State Bank of Fairmont,091213806
Wisconsin,State Bank of Reeseville,075906634
Texas,State National Bank,111302370
Illinois,Streator Home Savings Bank,
Georgia,Sunmark Community Bank,061212811
Kansas,Swedish-American State Bank,101111335
Florida,TAMPA POSTAL,
Illinois,TAYLORVILLE SCHOOL EMPLOYEES,
California,TECHNICOLOR,
Texas,TEMPLE-INLAND,
Texas,TEX MEX,
North Carolina,TEXAS GULF CAROLINA EMP,
Texas,THD DISTRICT 17,
Pennsylvania,TIMBERLAND,
Wisconsin,TOMAH AREA,
Minnesota,TORO EMPLOYEES,
Texas,TRANS TEXAS SOUTHWEST,
New Jersey,TRENTON NJ FIREMEN,
Nebraska,TRIUS,
Virginia,TRUMBULL,
Alabama,TUSCALOOSA V A,
North Carolina,"Tarboro Savings Bank, SSB",253171524
Texas,"Texas Advantage Community Bank, National Association",113125445
Texas,Texas Heritage National Bank,111906501
Massachusetts,The Bank of Canton,211373102
Missouri,The Bank of Houston,081506358
Texas,"The Bank of San Jacinto County, Coldspring, Texas",113101524
Kansas,The Bendena State Bank,101104384
Missouri,The Callaway Bank,081501696
Oklahoma,The Citizens Bank of Edmond,103002251
Georgia,The Citizens National Bank of Quitman,
Illinois,The City National Bank of Metropolis,
Texas,The Commercial National Bank of Brady,111303489
Alabama,The Exchange Bank of Alabama,062204129
Kentucky,The Farmers National Bank of Danville,
Oklahoma,The Farmers and Merchants National Bank of Fairview,103102342
Ohio,The First Citizens National Bank of Upper Sandusky,041205246
Texas,The First National Bank in Cooper,111905324
Texas,The First National Bank of Aspermont,111309234
Kentucky,The First National Bank of Brooksville,042103826
Texas,The First National Bank of Evant,111914878
Minnesota,The First National Bank of Le Center,
Texas,The First National Bank of Mertzon,111311785
Minnesota,The First National Bank of Osakis,
Texas,The First National Bank of Sonora,111313000
Ohio,The First National Bank of Waverly,044206475
Illinois,"The First Trust and Savings Bank of Watseka, Illinois",
Texas,The Granger National Bank,114919281
Ohio,The Hocking Valley Bank,044201030
Texas,The Jacksboro National Bank,111905641
Iowa,The Libertyville Savings Bank,073906335
Kansas,The Marion National Bank,101102700
Kentucky,The Murray Bank,083974412
Indiana,The New Washington State Bank,083008650
Kentucky,The Paducah Bank and Trust Company,083900402
Ohio,The Peoples Savings Bank,044212139
Michigan,The Port Austin State Bank,072405206
Oklahoma,The Security National Bank of Enid,103100179
Kansas,The State Bank of Bern,101107446
Oklahoma,The Stock Exchange Bank,103107444
Ohio,The Wilmington Savings Bank,242274403
Texas,Tolleson Private Bank,111024645
Tennessee,Traditions First Bank,064108650
Pennsylvania,TriState Capital Bank,043019003
Illinois,TrustBank,081204142
Pennsylvania,UFCW COMMUNITY,
Missouri,UNICO Bank,081910436
Iowa,UNITE,
California,UNITED LOCAL,
Ohio,UNITY CATHOLIC,
Ohio,UNIVERSITY OF TOLEDO,
Indiana,URBAN BEGINNINGS CHOICE,
Utah,UTAH COMMUNITY,
Tennessee,U. T.,
Tennessee,Union Bank & Trust Company,064105666
Missouri,United Bank of Union,081905289
Minnesota,United Valley Bank,091205063
New Jersey,VAH LYONS EMPLOYEES,
California,VALLEY STRONG,
Pennsylvania,VASCO,
Illinois,VICINITY,
Virginia,VIRGINIA STATE UNIVERSITY,
Ohio,Valley Central Bank,242072663
Minnesota,Vergas State Bank,091208222
Georgia,Vidalia Federal Savings Bank,261270857
Louisiana,W B R T,
Florida,WALTON COUNTY TEACHERS,
Indiana,WEATHERHEAD C C,
New Jersey,WEST HUDSON TEACHERS,
Wisconsin,WESTCONSIN,
Texas,WESTEX,
Pennsylvania,WHEATLAND,
Texas,WICHITA FALLS,
Alabama,WINSOUTH,
Massachusetts,WORCESTER,
Nebraska,Wahoo State Bank,104913255
Oklahoma,Washita Valley Bank,103106092
Tennessee,Wayne County Bank,064105734
Georgia,West Central Georgia Bank,061102523
Michigan,West Shore Bank,072408290
Pennsylvania,Westmoreland Federal Savings and Loan Association,243373387
Massachusetts,"Winter Hill Bank, FSB",211370406
Minnesota,"Worthington Federal Savings Bank, FSB",
Michigan,ZEAL,
Iowa,1ST GATEWAY,
Wisconsin,5 STAR COMMUNITY,
Virginia,ABNB,
Michigan,ADVANTAGE ONE,
Louisiana,ALIVE,
Utah,AMBRAW,
Texas,AMERICA'S,
Tennessee,APPLIANCE,
Minnesota,ASHLAND,
Pennsylvania,American Bank,031302997
Texas,American First National Bank,111915259
Georgia,Anchor Bank,067015656
Pennsylvania,Atlantic Community Bankers Bank,031301752
Texas,BATON ROUGE CITY PARISH EMP,
Indiana,BLOOMINGTON MUNICIPAL,
Missouri,BTC Bank,101916307
Wisconsin,"Bank First, N.A.",
Missouri,Bank of Monticello,081511110
Texas,Bank of the Orient,121029672
Nebraska,Bankers Trust Company,073000642
Virginia,Benchmark Community Bank,051402482
Utah,Brighton Bank,124302503
Indiana,CABRILLO,
North Carolina,CAROLINAS TELCO,
Wisconsin,CENTRICITY,
Utah,CHARLOTTE FIRE DEPARTMENT,
Illinois,CITIZENS EQUITY FIRST,
Nebraska,COBALT,
Michigan,COMMUNITY CHOICE,
Tennessee,COPPER BASIN,
Wisconsin,CRANBERRY,
Missouri,Capitol Federal Savings Bank,301171285
Michigan,Century Bank and Trust,072404883
Ohio,Citizens Federal Savings and Loan Association,244170165
Pennsylvania,Citizens & Northern Bank,022306782
Missouri,Community Bank and Trust,101202257
Wisconsin,Coulee Bank,091800374
Michigan,DFCU FINANCIAL,
North Carolina,Davidson Trust Co.,
Ohio,EATON FAMILY,
Colorado,ELECTRICAL,
Texas,ESSENTIAL,
Tennessee,Edmonton State Bank,083904181
Missouri,Exchange Bank & Trust,101100016
Ohio,"FCN Bank, National Association",074904640
Pennsylvania,FIRST AREA,
Texas,FIRST EAGLE,
Texas,FIRST SERVICE,
Texas,FONTANA,
Iowa,FOX VALLEY,
Kansas,Farmers National Bank,101113867
Wisconsin,Farmers & Merchants Bank & Trust,073900580
Nebraska,FirsTier Bank,102300996
Pennsylvania,First Commonwealth Bank,043303887
Ohio,First Federal Savings and Loan Association,244171575
Tennessee,"First Jackson Bank, Inc.",062203230
Tennessee,First National Bank of Pulaski,064103228
Indiana,First Savings Bank of Hegewisch,271974059
Texas,First Texoma National Bank,103100878
Ohio,"Forcht Bank, National Association",042102050
Indiana,Fowler State Bank,074912755
Missouri,GATEWAY METRO,
Utah,GLATCO,
Michigan,GREAT LAKES,
Nebraska,Generations Bank,104902800
Oklahoma,Grant County Bank,103103765
Tennessee,Greenfield Banking Company,084307965
Wisconsin,HARBOR POINTE,
Utah,HIGHWAY,
Pennsylvania,HONEYWELL PHILADELPHIA DIV,
Nebraska,Heartland Bank,104901597
Texas,"Home Bank, National Association",065200926
Virginia,I R E B,
Texas,INTOUCH,
Virginia,JERSEY CITY POLICE,
Wisconsin,KBR HERITAGE,
Missouri,K.C. AREA,
North Carolina,LABOR MANAGEMENT,
Virginia,LANGLEY,
Texas,LIFETIME,
Utah,LOUISVILLE FEDERAL,
Illinois,"Lake Forest Bank & Trust Company, National Association",071925334
Missouri,Lindell Bank & Trust Company,081000168
Texas,MANVILLE AREA,
Texas,MEMORIAL,
Kansas,MERITRUST,
Wisconsin,MIDDLETOWN AREA SCHOOLS,
Indiana,MONROE COUNTY TEACHERS,
Texas,MY,
Wisconsin,"Merchants Bank, National Association",091900193
Florida,MidSouth Bank,062103864
Tennessee,"Morgantown Bank & Trust Company, Incorporated",
Virginia,NEWPORT NEWS MUN. EMP CREDIT UNION,
Tennessee,NORTHEAST COMMUNITY,
Florida,NRS COMMUNITY DEVELOPMENT,
Wisconsin,North Shore Bank,211370697
Ohio,OHIO HEALTHCARE,
Utah,OPERATING ENGINEERS LOCAL UNION #3,
Utah,P & S,
Utah,PARKS HERITAGE,
Pennsylvania,PENNTECH EMPLOYEES,
Minnesota,PIPEFITTERS-STEAMFITTERS,
Michigan,POWER ONE,
Georgia,PUBLIX EMPLOYEES,
Missouri,Parkside Financial Bank & Trust,081019405
Oklahoma,Peoples Bank and Trust Company,103103516
Georgia,Pineland Bank,061201233
Georgia,PrimeSouth Bank,061203655
Tennessee,REDSTONE,
Michigan,RIO BLANCO SCHOOLS,
Ohio,RIVERVIEW,
Wisconsin,Range Bank,
Minnesota,Rolling Hills Bank & Trust,073905912
Michigan,SAN MATEO CITY EMPLOYEES,
Texas,SEA WEST COAST GUARD,
Missouri,SERVICE 1,
Nebraska,SIOUXLAND,
Texas,SOMERVILLE MUNICIPAL,
Texas,SOUTHERN,
Pennsylvania,STANWOOD AREA,
Missouri,SUMMIT RIDGE,
Texas,SYRACUSE FIRE DEPARTMENT EMPLOYEES,
Georgia,Seacoast National Bank,063113808
Virginia,Somerset Trust Company,043308691
Virginia,Southern Bank and Trust Company,051402149
Iowa,"Sterling Federal Bank, F.S.B.",271173494
Texas,TEAM FIRST,
Utah,TEXAS HEALTH,
Texas,THE LOCAL,
Wisconsin,TRANSIT AUTHORITY DIVISION B,
Utah,TRINITY VALLEY TEACHERS,
Texas,TWIN RIVERS,
Ohio,The Antwerp Exchange Bank Company,041208735
Texas,The Bankers Bank,075912479
Kentucky,The Farmers Bank of Milton,083905546
Indiana,The Fountain Trust Company,074904860
Ohio,The Savings Bank,044103976
Missouri,The Union State Bank of Everest,101106214
Pennsylvania,Tompkins Bank & Trust,021302648
Pennsylvania,U F C W LOCAL 1776,
Wisconsin,UNITED ASSOCIATION,
North Carolina,UNIVERSITY OF SOUTH ALABAMA,
Texas,UTICA DISTRICT TELEPHONE EMPLOYEES,
Wisconsin,Union Federal Savings and Loan Association,
Texas,VA DESERT PACIFIC,
Georgia,VYSTAR,
Texas,WESTCHESTER SCHOOLS',
North Carolina,WORKMEN'S CIRCLE INCORPORATED,
Pennsylvania,Wayne Bank,021308833
Oklahoma,Wisdom Heritage Bank,
Pennsylvania,YOUR CHOICE,
Illinois,ACCESS,
Michigan,ADVIA,
Virginia,ARLINGTON COMMUNITY,
Colorado,Adams Bank & Trust,104113958
Louisiana,Anthem Bank & Trust,265470792
Utah,B&V,
Kentucky,Burke & Herbert Bank & Trust Company,056001066
Georgia,"CB&S Bank, Inc.",062201559
Pennsylvania,CHRISTIAN FAMILY,
Michigan,COMPASS,
North Carolina,CORNING,
Kentucky,Citizens Bank & Trust Company,083907913
Ohio,City National Bank of West Virginia,051904524
Oklahoma,Community National Bank & Trust,101105817
Illinois,Crossroads Bank,081224122
Iowa,DUPACO COMMUNITY,
Texas,ENERGY ONE,
Alabama,FEDERAL EMPLOYEES,262088116
Utah,FIREFIGHTERS,
Utah,FREEDOM,
New Jersey,First Citizens Community Bank,031309589
Indiana,First Federal Savings Bank,274970380
Louisiana,First National Banker's Bank,062006495
Indiana,Freedom Bank,083914236
Indiana,GENFED FINANCIAL,
Ohio,German American Bank,074914274
Alabama,HOPE,065382514
New Jersey,"Hana Bank USA, National Association",026003272
Texas,Herring Bank,107001135
Alabama,"Investar Bank, National Association",065405527
Louisiana,KRAFTMAN,
Texas,Liberty National Bank,111900578
Georgia,MEMBERS TRUST,
Ohio,Mechanics Bank,241271371
Texas,Monet Bank,311993330
North Carolina,"New Peoples Bank, Inc.",051408897
North Carolina,Oakworth Capital Bank,062006709
Massachusetts,OneUnited Bank,011001276
Michigan,PUBLIC SERVICE,
Florida,PeoplesSouth Bank,062104041
Nebraska,Points West Community Bank,102101360
Iowa,RIVER VALLEY,
Texas,SECURITY SERVICE,
Virginia,SKYLINE NATIONAL BANK,051402835
Florida,SUMA,
Ohio,SUN,
Tennessee,SmartBank,061304363
Colorado,Stockmens Bank,104106473
Ohio,TOLEDO FIRE FIGHTERS,
Pennsylvania,The Bank of Princeton,031207940
